measurementpoint.flowvalue,measurementpoint.speedvalue,measurementpoint.ninputs,measurementpoint.sdeviation,measurementpoint.measurementdatetime,measurementpoint.reference
2640.0,101.66666666666667,0.0,,2019-11-17 17:50:00,RWS01_MONIBAS_0021hrr0597ra
2460.0,101.0,0.0,,2019-11-17 17:56:00,RWS01_MONIBAS_0021hrr0597ra
2460.0,102.33333333333333,0.0,,2019-11-17 18:02:00,RWS01_MONIBAS_0021hrr0597ra
2100.0,102.66666666666667,0.0,,2019-11-17 18:07:00,RWS01_MONIBAS_0021hrr0597ra
2640.0,104.33333333333333,0.0,,2019-11-17 18:13:00,RWS01_MONIBAS_0021hrr0597ra
2700.0,109.66666666666667,0.0,,2019-11-17 18:19:00,RWS01_MONIBAS_0021hrr0597ra
2820.0,109.66666666666667,0.0,,2019-11-17 18:25:00,RWS01_MONIBAS_0021hrr0597ra
2580.0,104.33333333333333,0.0,,2019-11-17 18:31:00,RWS01_MONIBAS_0021hrr0597ra
2700.0,108.33333333333333,0.0,,2019-11-17 18:36:00,RWS01_MONIBAS_0021hrr0597ra
2160.0,105.66666666666667,0.0,,2019-11-17 18:42:00,RWS01_MONIBAS_0021hrr0597ra
2880.0,106.66666666666667,0.0,,2019-11-17 18:48:00,RWS01_MONIBAS_0021hrr0597ra
2580.0,104.66666666666667,0.0,,2019-11-17 18:54:00,RWS01_MONIBAS_0021hrr0597ra
2520.0,102.0,0.0,,2019-11-17 19:00:00,RWS01_MONIBAS_0021hrr0597ra
1740.0,105.5,0.0,,2019-11-17 19:05:00,RWS01_MONIBAS_0021hrr0597ra
2220.0,105.66666666666667,0.0,,2019-11-17 19:11:00,RWS01_MONIBAS_0021hrr0597ra
2280.0,102.33333333333333,0.0,,2019-11-17 19:17:00,RWS01_MONIBAS_0021hrr0597ra
2700.0,107.0,0.0,,2019-11-17 19:23:00,RWS01_MONIBAS_0021hrr0597ra
2100.0,108.66666666666667,0.0,,2019-11-17 19:29:00,RWS01_MONIBAS_0021hrr0597ra
2220.0,107.66666666666667,0.0,,2019-11-17 19:34:00,RWS01_MONIBAS_0021hrr0597ra
2880.0,103.33333333333333,0.0,,2019-11-17 19:40:00,RWS01_MONIBAS_0021hrr0597ra
2040.0,103.33333333333333,0.0,,2019-11-17 19:46:00,RWS01_MONIBAS_0021hrr0597ra
1860.0,106.33333333333333,0.0,,2019-11-17 19:52:00,RWS01_MONIBAS_0021hrr0597ra
